author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;district;street;house_number;underground;residential_complex
CENTURY 21 Street Realty;real_estate_agent;https://www.cian.ru/sale/flat/306311189/;Москва;sale;flat;14;26;2;46.0;30500000;Очаково-Матвеевское;Нежинская ;5к2;Матвеевская;Городские резиденции SPIRES
TWEED;real_estate_agent;https://www.cian.ru/sale/flat/282592114/;Москва;sale;flat;2;7;2;45.5;31500000;Замоскворечье;Шлюзовая набережная;2А;Павелецкая;IM на Садовом
Marry Lane Group;real_estate_agent;https://www.cian.ru/sale/flat/311384764/;Москва;sale;flat;37;44;2;45.7;33000000;Пресненский;Ходынская ;2;Улица 1905 года;Пресня Сити
NIKA ESTATE;real_estate_agent;https://www.cian.ru/sale/flat/312870649/;Москва;sale;flat;2;6;1;50.5;33950000;Арбат;1-й Смоленский переулок;22/10;Смоленская;
Арт Риэлти;real_estate_agent;https://www.cian.ru/sale/flat/309550008/;Москва;sale;flat;3;11;2;78.0;35500000;Лефортово; Крузенштерна;6;Серп и Молот;Символ
ID 861013;realtor;https://www.cian.ru/sale/flat/306717695/;Москва;sale;flat;2;21;2;50.0;39300000;Марьина роща;1-я Ямская ;6;Марьина Роща;Премиум-квартал JAZZ
Alliance Agency Real Estate;real_estate_agent;https://www.cian.ru/sale/flat/309675503/;Москва;sale;flat;7;41;2;48.0;39500000;Раменки;1-й Сетуньский проезд;8;Кутузовская;Hide
Alliance Agency Real Estate;real_estate_agent;https://www.cian.ru/sale/flat/310213893/;Москва;sale;flat;6;41;2;48.0;39500000;Раменки;1-й Сетуньский проезд;8;Кутузовская;Hide
Alliance Agency Real Estate;real_estate_agent;https://www.cian.ru/sale/flat/302295108/;Москва;sale;flat;10;46;2;58.5;41400000;Даниловский;Дубининская ;59А;Павелецкая;Павелецкая Сити
COLDY;developer;https://www.cian.ru/sale/flat/303330185/;Москва;sale;flat;4;15;1;48.2;42401540;Даниловский; Серпуховский Вал;7с5;Тульская;Дом 7 Даниловский
Арт Риэлти;real_estate_agent;https://www.cian.ru/sale/flat/312178852/;Москва;sale;flat;11;14;2;71.0;44000000;Лефортово;шоссе Энтузиастов;3к2;Москва-Товарная;Символ
Alliance Agency Real Estate;real_estate_agent;https://www.cian.ru/sale/flat/308461771/;Москва;sale;flat;16;41;2;56.0;44300000;Раменки;1-й Сетуньский проезд;8;Кутузовская;
Alliance Agency Real Estate;real_estate_agent;https://www.cian.ru/sale/flat/309515848/;Москва;sale;flat;7;30;2;66.3;47000000;Якиманка;Мытная ;40к2;Серпуховская;Sky House
